"symbol";"sum(2020)_Accounts Payable";"sum(2020)_Accounts Receivable";"sum(2020)_Basic EPS";"sum(2020)_Capital Expenditure";"sum(2020)_Cash And Cash Equivalents";"sum(2020)_Cash Flowsfromusedin Operating Activities Direct";"sum(2020)_Cost Of Revenue";"sum(2020)_Current Assets";"sum(2020)_Current Liabilities";"sum(2020)_End Cash Position";"sum(2020)_Gross Profit";"sum(2020)_Net Income";"sum(2020)_Operating Expense";"sum(2020)_Operating Income";"sum(2020)_Total Assets";"sum(2020)_Total Equity Gross Minority Interest";"sum(2020)_Total Liabilities Net Minority Interest";"sum(2020)_Total Non Current Assets";"sum(2020)_Total Non Current Liabilities Net Minority Interest";"sum(2020)_Total Revenue";"sum(2021)_Accounts Payable";"sum(2021)_Accounts Receivable";"sum(2021)_Basic EPS";"sum(2021)_Capital Expenditure";"sum(2021)_Cash And Cash Equivalents";"sum(2021)_Cash Flowsfromusedin Operating Activities Direct";"sum(2021)_Cost Of Revenue";"sum(2021)_Current Assets";"sum(2021)_Current Liabilities";"sum(2021)_End Cash Position";"sum(2021)_Gross Profit";"sum(2021)_Net Income";"sum(2021)_Operating Expense";"sum(2021)_Operating Income";"sum(2021)_Total Assets";"sum(2021)_Total Equity Gross Minority Interest";"sum(2021)_Total Liabilities Net Minority Interest";"sum(2021)_Total Non Current Assets";"sum(2021)_Total Non Current Liabilities Net Minority Interest";"sum(2021)_Total Revenue";"sum(2022)_Accounts Payable";"sum(2022)_Accounts Receivable";"sum(2022)_Basic EPS";"sum(2022)_Capital Expenditure";"sum(2022)_Cash And Cash Equivalents";"sum(2022)_Cash Flowsfromusedin Operating Activities Direct";"sum(2022)_Cost Of Revenue";"sum(2022)_Current Assets";"sum(2022)_Current Liabilities";"sum(2022)_End Cash Position";"sum(2022)_Gross Profit";"sum(2022)_Net Income";"sum(2022)_Operating Expense";"sum(2022)_Operating Income";"sum(2022)_Total Assets";"sum(2022)_Total Equity Gross Minority Interest";"sum(2022)_Total Liabilities Net Minority Interest";"sum(2022)_Total Non Current Assets";"sum(2022)_Total Non Current Liabilities Net Minority Interest";"sum(2022)_Total Revenue";"sum(2023)_Accounts Payable";"sum(2023)_Accounts Receivable";"sum(2023)_Basic EPS";"sum(2023)_Capital Expenditure";"sum(2023)_Cash And Cash Equivalents";"sum(2023)_Cash Flowsfromusedin Operating Activities Direct";"sum(2023)_Cost Of Revenue";"sum(2023)_Current Assets";"sum(2023)_Current Liabilities";"sum(2023)_End Cash Position";"sum(2023)_Gross Profit";"sum(2023)_Net Income";"sum(2023)_Operating Expense";"sum(2023)_Operating Income";"sum(2023)_Total Assets";"sum(2023)_Total Equity Gross Minority Interest";"sum(2023)_Total Liabilities Net Minority Interest";"sum(2023)_Total Non Current Assets";"sum(2023)_Total Non Current Liabilities Net Minority Interest";"sum(2023)_Total Revenue"
"AALI";7.70264E11;7.65849E11;432.84;-9.99198E11;9.78892E11;2.322164E12;1.5844152E13;5.93789E12;1.792506E12;9.78892E11;2.962891E12;8.3309E11;1.114392E12;1.848499E12;2.7781231E13;1.9247794E13;8.533437E12;2.1843341E13;6.740931E12;1.8807043E13;1.026717E12;4.58135E11;1024.25;-1.229482E12;3.896022E12;4.895119E12;1.9492034E13;9.414208E12;5.960396E12;3.896022E12;4.830014E12;1.971365E12;1.392117E12;3.437897E12;3.0399906E13;2.1171173E13;9.228733E12;2.0985698E13;3.268337E12;2.4322048E13;1.224423E12;8.4877E11;897.08;-1.379444E12;1.619616E12;1.835397E12;1.8006474E13;7.390608E12;2.052939E12;1.619616E12;3.822117E12;1.726607E12;1.451485E12;2.370632E12;2.924934E13;2.2243221E13;7.006119E12;2.1858732E13;4.95318E12;2.1828591E13;8.42064E11;6.74487E11;548.61;-1.236337E12;2.089508E12;2.538738E12;1.7974493E13;7.118202E12;3.882141E12;2.089508E12;2.77098E12;1.055897E12;1.510986E12;1.259994E12;2.8846243E13;2.2566006E13;6.280237E12;2.1728041E13;2.398096E12;2.0745473E13
"ABBA";3.8356424276E10;1.5894149707E10;-12.95097;-9.51932115E8;2.6724525401E10;-5.046313037E10;8.2063860407E10;5.1154210366E10;1.2943539878E11;2.6724525401E10;7.654402793E10;-4.4896235179E10;1.27062133003E11;-5.0518105073E10;2.21650737019E11;-1.03709218158E11;3.25359955177E11;1.70496526653E11;1.95924556397E11;1.58607888337E11;4.6880272639E10;2.1001773422E10;-8.09;-2.11212463E9;1.8722391189E10;-2.8394083403E10;9.146618879E10;5.2578843689E10;1.45859034017E11;1.8722391189E10;7.7326783295E10;-2.2277461051E10;1.08451054756E11;-3.1124271461E10;5.24632899688E11;1.6487044499E11;3.59762454698E11;4.72054055999E11;2.13903420681E11;1.68792972085E11;5.5704891068E10;3.7902199334E10;-5.59;-6.76132803E9;7.4448866438E10;-9.6201303946E10;9.834737122E10;1.85904486754E11;1.72705554621E11;7.4448866438E10;7.1870077315E10;-2.2020087187E10;9.5782990235E10;-2.391291292E10;3.8888453339E11;2.94183421E10;3.5946619129E11;2.02980046636E11;1.86760636669E11;1.70217448535E11;5.5958822573E10;4.9497153668E10;-5.59;-2.82419492E9;3.1456534546E10;-5.8561652597E10;1.41571457934E11;1.25961808262E11;2.28553719241E11;3.1456534546E10;5.9204276941E10;-4.3705035627E10;1.06134297953E11;-4.6930021012E10;2.7113648586E11;-1.05792095747E11;3.76928581607E11;1.45174677598E11;1.48374862366E11;2.00775734875E11
"ABDA";7.686395E9;8.0136871E10;223.0;-4.966673E9;6.52083696E11;-2.22057086E11;0.0;0.0;0.0;6.52083696E11;0.0;1.38203753E11;0.0;0.0;2.477781648E12;1.387236002E12;1.090545646E12;0.0;0.0;9.07194332E11;1.9115105E10;8.4123593E10;253.0;-1.895459E10;3.85152941E11;-1.18791028E11;0.0;0.0;0.0;3.85152941E11;0.0;1.5736323E11;0.0;0.0;2.495890568E12;1.512103062E12;9.83787506E11;0.0;0.0;7.88581085E11;1.9123097E10;8.0357087E10;147.0;-1.3114635E10;4.45550439E11;-3.6687617E10;0.0;0.0;0.0;4.45550439E11;0.0;9.1144434E10;0.0;0.0;2.472105924E12;1.505488077E12;9.66617847E11;0.0;0.0;7.53810593E11;3.2032147E10;1.02806033E11;147.0;-3.590311E9;7.22652379E11;-3.0598515E10;0.0;0.0;0.0;7.22652379E11;0.0;8.4581307E10;0.0;0.0;2.664450707E12;1.548860178E12;1.115590529E12;0.0;0.0;8.70531243E11
"ABMM";1.15627378E8;1.38614852E8;-0.01295;-7.1145006E7;1.09212396E8;1.32348535E8;5.04892363E8;3.14160618E8;2.62691486E8;1.09212396E8;1.01515013E8;-3.5659427E7;6.1189709E7;4.0325304E7;8.27237179E8;1.61749144E8;6.65488035E8;5.13076561E8;4.02796549E8;6.06407376E8;1.27940097E8;1.55355917E8;0.05376;-8.2942039E7;2.37220441E8;3.64559017E8;6.55508696E8;4.95193191E8;2.99692977E8;2.37220441E8;3.66356778E8;1.48003867E8;6.2854602E7;3.03502176E8;1.036704159E9;3.56889117E8;6.79815042E8;5.41510968E8;3.80122065E8;1.021865474E9;2.26453754E8;2.55624573E8;0.09804;-2.82461255E8;2.21566137E8;4.21690253E8;9.236231E8;7.06664493E8;6.16933951E8;2.21566137E8;5.21904271E8;2.69909926E8;1.26172622E8;3.95731649E8;1.982578564E9;6.17521275E8;1.365057289E9;1.275914071E9;7.48123338E8;1.445527371E9;2.55451164E8;3.13541656E8;0.10497;-4.34776479E8;1.88576976E8;3.87302217E8;1.100952827E9;6.22722099E8;6.31680763E8;1.88576976E8;3.92046029E8;2.89000557E8;8.6418916E7;3.05627113E8;2.156687895E9;7.58926967E8;1.397760928E9;1.533965796E9;7.66080165E8;1.492998856E9
"ACES";1.64227235603E11;1.43482663889E11;42.86;-1.62996620416E11;2.219784801023E12;1.538615302164E12;3.75358506658E12;5.03473716632E12;8.44928054206E11;2.219784801023E12;3.659181805722E12;7.33195452445E11;2.80619256001E12;8.52989245712E11;7.216725069894E12;5.343597851998E12;1.873127217896E12;2.181987903574E12;1.02819916369E12;7.412766872302E12;1.26723781917E11;6.6777644333E10;41.18;-8.4449629919E10;2.543833653523E12;1.305426267837E12;3.330713867112E12;5.192108153404E12;7.22537447543E11;2.543833653523E12;3.212648831788E12;6.90770530338E11;2.439112904311E12;7.73535927477E11;7.171138470214E12;5.578980277554E12;1.59215819266E12;1.97903031681E12;8.69620745117E11;6.5433626989E12;1.44350074482E11;8.5854926858E10;38.83;-1.07489443031E11;2.13339908162E12;6.18838440602E11;3.494850563778E12;5.362930145158E12;6.69768766924E11;2.13339908162E12;3.267952778368E12;6.64342863394E11;2.52159334192E12;7.46359436448E11;7.249254612049E12;5.933988630611E12;1.315265981438E12;1.886324466891E12;6.45497214514E11;6.762803342146E12;1.25623110112E11;1.9860975109E11;38.83;-1.31948351587E11;2.31237449014E12;1.356429549142E12;3.913777307313E12;5.662380431624E12;7.63625178514E11;2.31237449014E12;3.698088759955E12;7.63507487621E11;2.835262592446E12;8.62826167509E11;7.753269368751E12;6.186397789088E12;1.566871579663E12;2.090888937127E12;8.03246401149E11;7.611866067268E12
"ACST";7.63909E11;1.448907E12;-558.0;-6.3513E10;7.34E10;1.761692E12;1.50027E12;2.210364E12;2.620265E12;7.34E10;-2.95841E11;-1.323209E12;8.26796E11;-1.122637E12;3.055106E12;3.24032E11;2.731074E12;8.44742E11;1.10809E11;1.204429E12;5.24314E11;9.40206E11;-82.0;-1.0025E10;4.71657E11;1.97089E11;1.642358E12;1.808369E12;1.288711E12;4.71657E11;-1.47687E11;-6.95549E11;5.12727E11;-6.60414E11;2.478713E12;1.115731E12;1.362982E12;6.70344E11;7.4271E10;1.494671E12;5.31062E11;1.122512E12;-35.0;-3.86E9;2.05806E11;-2.16864E11;1.348817E12;1.606973E12;1.397747E12;2.05806E11;-3.11947E11;-4.48905E11;1.86054E11;-4.98001E11;2.111024E12;6.70997E11;1.440027E12;5.04051E11;4.228E10;1.03687E12;1.147946E12;1.502334E12;-35.0;-9.764E9;2.98674E11;1.68635E11;2.389679E12;2.166914E12;2.170056E12;2.98674E11;-4.0041E10;-2.70149E11;2.16147E11;-2.56188E11;2.608782E12;3.96057E11;2.212725E12;4.41868E11;4.2669E10;2.349638E12
"ADCP";1.067770868373E12;4.2325334928E10;6.66;-1.109743585E9;4.4698876735E10;-2.31413053812E11;8.01582919316E11;3.198674282991E12;2.39214263119E12;4.4698876735E10;1.75638090188E11;1.33251330455E11;3.620570416E10;1.39432386028E11;4.676206827347E12;1.96983481987E12;2.706372007477E12;1.477532544356E12;3.14229376287E11;9.77221009504E11;1.507989325929E12;4.1696808428E10;5.866226;-3.1335E9;6.0530437116E10;-1.37027104396E11;4.16880451565E11;3.635321504731E12;3.51912982048E12;6.0530437116E10;1.4680761486E11;1.30360577564E11;2.9421666935E10;1.17385947925E11;5.978673938137E12;2.100195446504E12;3.878478491633E12;2.343352433406E12;3.59348671153E11;5.63688066425E11;1.52011061819E12;2.9649759112E10;4.73;-3.1335E9;2.6869792306E10;1.22114790323E11;4.39458758404E11;3.437620593864E12;3.579040895194E12;2.6869792306E10;1.53228955379E11;1.05019176258E11;3.3333175709E10;1.1989577967E11;6.321024480878E12;2.457997445178E12;3.8630270357E12;2.883403887014E12;2.83986140506E11;5.92687713783E11;1.293411062245E12;1.9253948616E10;4.73;-3.1335E9;2.83694481906E11;1.956752242E9;4.80306927982E11;3.430583376693E12;2.574442426693E12;2.83694481906E11;1.71651975788E11;1.16165361945E11;3.8609479865E10;1.33042495923E11;6.643815019188E12;2.574162796643E12;4.069652222545E12;3.213231642495E12;1.495209795852E12;6.5195890377E11
"ADES";6.3317E10;1.1961E11;230.0;-4.935E9;3.38488E11;2.30679E11;3.30799E11;5.45239E11;1.83559E11;3.38488E11;3.42565E11;1.35789E11;1.66137E11;1.76428E11;9.58791E11;7.00508E11;2.58283E11;4.13552E11;7.4724E10;6.73364E11;1.0508E11;1.62895E11;451.0;-1.8064E11;3.80237E11;3.08341E11;4.35507E11;6.73394E11;2.68367E11;3.80237E11;4.99568E11;2.65758E11;1.72536E11;3.27032E11;1.304108E12;9.69817E11;3.34291E11;6.30714E11;6.5924E10;9.35075E11;1.12266E11;1.88937E11;619.0;-3.15991E11;3.77722E11;3.12748E11;6.2024E11;8.15319E11;2.54719E11;3.77722E11;6.70752E11;3.64972E11;2.29558E11;4.41194E11;1.645582E12;1.334836E12;3.10746E11;8.30263E11;5.6027E10;1.290992E12;1.15597E11;2.22758E11;671.0;-8.0192E10;7.53508E11;4.59648E11;7.14509E11;1.23011E12;2.98814E11;7.53508E11;8.10936E11;3.95798E11;3.26906E11;4.8403E11;2.085182E12;1.729808E12;3.55374E11;8.55072E11;5.656E10;1.525445E12
"ADHI";1.2661070627399E13;1.7078643907495E13;6.162338;-4.6001151896E11;2.363649065033E12;1.436114329566E12;9.091968816661E12;3.0090503386345E13;2.7082649503604E13;2.363649065033E12;1.735713600544E12;2.3976887476E10;7.39124283695E11;9.96589316849E11;3.8093888626551E13;5.574810447358E12;3.2519078179193E13;8.003385240206E12;5.436428675589E12;1.0827682417205E13;1.2770774582579E13;1.5828528343001E13;15.5;-3.56764764001E11;3.15227874973E12;1.516124833702E12;9.774045780098E12;3.1600942926217E13;3.1127451942313E13;3.15227874973E12;1.756425932938E12;5.5185184473E10;9.24365568154E11;8.32060364784E11;3.9900337834619E13;5.657707202425E12;3.4242630632194E13;8.299394908402E12;3.115178689881E12;1.1530471713036E13;1.1343194486108E13;1.3921181713956E13;18.59;-1.07299901599E11;4.336901032232E12;1.224436816989E12;1.1752722145701E13;2.9900162633389E13;2.4768080064517E13;4.336901032232E12;1.796288082883E12;8.124217749E10;1.0406140965E12;7.55673986383E11;3.9986417216654E13;8.823791463516E12;3.1162625753138E13;1.0086254583265E13;6.394545688621E12;1.3549010228584E13;8.838821657307E12;1.6269939477094E13;25.46;-3.18822289945E11;4.503731722859E12;2.48373510773E11;1.7750066226495E13;2.8580550763597E13;2.4981176224581E13;4.503731722859E12;2.322927201526E12;2.14015935473E11;1.262867450031E12;1.060059751495E12;4.0492030620079E13;9.218792381077E12;3.1273238239002E13;1.1911479856482E13;6.292062014421E12;2.0072993428021E13
"ADMF";1.77874E11;2.481179E12;1026.0;-1.34668E11;4.227409E12;8.452733E12;3.607311E12;2.7992485E13;1.1779426E13;4.227409E12;4.161827E12;1.025573E12;4.115086E12;4.6741E10;2.9209393E13;8.010437E12;2.1198956E13;1.216908E12;9.41953E12;7.769138E12;1.19163E11;2.481179E12;1213.0;-7.0204E10;1.63755E12;4.066425E12;3.004106E12;2.2697411E13;2.897998E12;1.63755E12;3.65417E12;1.213316E12;3.819051E12;-1.64881E11;2.370914E13;8.946372E12;1.4762768E13;1.011729E12;1.186477E13;6.658276E12;8.004E10;2.481179E12;1606.0;-4.7793E10;1.286362E12;8.2935E11;2.872083E12;1.2016531E13;5.509838E12;1.286362E12;3.735834E12;1.605555E12;3.398125E12;3.37709E11;2.4897205E13;1.0032386E13;1.4864819E13;1.2880674E13;9.354981E12;6.607917E12;1.09622E11;2.481179E12;1944.0;-1.49019E11;1.435491E12;-4.052033E12;3.242382E12;1.5158561E13;6.257287E12;1.435491E12;4.384661E12;1.944047E12;3.746166E12;6.38495E11;3.1007222E13;1.1112186E13;1.9895036E13;1.5848661E13;1.3637749E13;7.627043E12
