"symbol";"account";"type";"2020";"2021";"2022";"2023"
"AALI";"Accounts Payable";"BS";7.70264E11;1.026717E12;1.224423E12;8.42064E11
"AALI";"Accounts Receivable";"BS";7.65849E11;4.58135E11;8.4877E11;6.74487E11
"AALI";"Basic EPS";"IS";432.84;1024.25;897.08;548.61
"AALI";"Capital Expenditure";"CF";-9.99198E11;-1.229482E12;-1.379444E12;-1.236337E12
"AALI";"Cash And Cash Equivalents";"BS";9.78892E11;3.896022E12;1.619616E12;2.089508E12
"AALI";"Cash Flowsfromusedin Operating Activities Direct";"CF";2.322164E12;4.895119E12;1.835397E12;2.538738E12
"AALI";"Cost Of Revenue";"IS";1.5844152E13;1.9492034E13;1.8006474E13;1.7974493E13
"AALI";"Current Assets";"BS";5.93789E12;9.414208E12;7.390608E12;7.118202E12
"AALI";"Current Liabilities";"BS";1.792506E12;5.960396E12;2.052939E12;3.882141E12
"AALI";"End Cash Position";"CF";9.78892E11;3.896022E12;1.619616E12;2.089508E12
"AALI";"Gross Profit";"IS";2.962891E12;4.830014E12;3.822117E12;2.77098E12
"AALI";"Net Income";"IS";8.3309E11;1.971365E12;1.726607E12;1.055897E12
"AALI";"Operating Expense";"IS";1.114392E12;1.392117E12;1.451485E12;1.510986E12
"AALI";"Operating Income";"IS";1.848499E12;3.437897E12;2.370632E12;1.259994E12
"AALI";"Total Assets";"BS";2.7781231E13;3.0399906E13;2.924934E13;2.8846243E13
"AALI";"Total Equity Gross Minority Interest";"BS";1.9247794E13;2.1171173E13;2.2243221E13;2.2566006E13
"AALI";"Total Liabilities Net Minority Interest";"BS";8.533437E12;9.228733E12;7.006119E12;6.280237E12
"AALI";"Total Non Current Assets";"BS";2.1843341E13;2.0985698E13;2.1858732E13;2.1728041E13
"AALI";"Total Non Current Liabilities Net Minority Interest";"BS";6.740931E12;3.268337E12;4.95318E12;2.398096E12
"AALI";"Total Revenue";"IS";1.8807043E13;2.4322048E13;2.1828591E13;2.0745473E13
"ABBA";"Accounts Payable";"BS";3.8356424276E10;4.6880272639E10;5.5704891068E10;5.5958822573E10
"ABBA";"Accounts Receivable";"BS";1.5894149707E10;2.1001773422E10;3.7902199334E10;4.9497153668E10
"ABBA";"Basic EPS";"IS";-12.95097;-8.09;-5.59;-5.59
"ABBA";"Capital Expenditure";"CF";-9.51932115E8;-2.11212463E9;-6.76132803E9;-2.82419492E9
"ABBA";"Cash And Cash Equivalents";"BS";2.6724525401E10;1.8722391189E10;7.4448866438E10;3.1456534546E10
"ABBA";"Cash Flowsfromusedin Operating Activities Direct";"CF";-5.046313037E10;-2.8394083403E10;-9.6201303946E10;-5.8561652597E10
"ABBA";"Cost Of Revenue";"IS";8.2063860407E10;9.146618879E10;9.834737122E10;1.41571457934E11
"ABBA";"Current Assets";"BS";5.1154210366E10;5.2578843689E10;1.85904486754E11;1.25961808262E11
"ABBA";"Current Liabilities";"BS";1.2943539878E11;1.45859034017E11;1.72705554621E11;2.28553719241E11
"ABBA";"End Cash Position";"CF";2.6724525401E10;1.8722391189E10;7.4448866438E10;3.1456534546E10
"ABBA";"Gross Profit";"IS";7.654402793E10;7.7326783295E10;7.1870077315E10;5.9204276941E10
"ABBA";"Net Income";"IS";-4.4896235179E10;-2.2277461051E10;-2.2020087187E10;-4.3705035627E10
"ABBA";"Operating Expense";"IS";1.27062133003E11;1.08451054756E11;9.5782990235E10;1.06134297953E11
"ABBA";"Operating Income";"IS";-5.0518105073E10;-3.1124271461E10;-2.391291292E10;-4.6930021012E10
"ABBA";"Total Assets";"BS";2.21650737019E11;5.24632899688E11;3.8888453339E11;2.7113648586E11
"ABBA";"Total Equity Gross Minority Interest";"BS";-1.03709218158E11;1.6487044499E11;2.94183421E10;-1.05792095747E11
"ABBA";"Total Liabilities Net Minority Interest";"BS";3.25359955177E11;3.59762454698E11;3.5946619129E11;3.76928581607E11
"ABBA";"Total Non Current Assets";"BS";1.70496526653E11;4.72054055999E11;2.02980046636E11;1.45174677598E11
"ABBA";"Total Non Current Liabilities Net Minority Interest";"BS";1.95924556397E11;2.13903420681E11;1.86760636669E11;1.48374862366E11
"ABBA";"Total Revenue";"IS";1.58607888337E11;1.68792972085E11;1.70217448535E11;2.00775734875E11
"ABDA";"Accounts Payable";"BS";7.686395E9;1.9115105E10;1.9123097E10;3.2032147E10
"ABDA";"Accounts Receivable";"BS";8.0136871E10;8.4123593E10;8.0357087E10;1.02806033E11
"ABDA";"Basic EPS";"IS";223.0;253.0;147.0;147.0
"ABDA";"Capital Expenditure";"CF";-4.966673E9;-1.895459E10;-1.3114635E10;-3.590311E9
"ABDA";"Cash And Cash Equivalents";"BS";6.52083696E11;3.85152941E11;4.45550439E11;7.22652379E11
"ABDA";"Cash Flowsfromusedin Operating Activities Direct";"CF";-2.22057086E11;-1.18791028E11;-3.6687617E10;-3.0598515E10
"ABDA";"End Cash Position";"CF";6.52083696E11;3.85152941E11;4.45550439E11;7.22652379E11
"ABDA";"Net Income";"IS";1.38203753E11;1.5736323E11;9.1144434E10;8.4581307E10
"ABDA";"Total Assets";"BS";2.477781648E12;2.495890568E12;2.472105924E12;2.664450707E12
"ABDA";"Total Equity Gross Minority Interest";"BS";1.387236002E12;1.512103062E12;1.505488077E12;1.548860178E12
"ABDA";"Total Liabilities Net Minority Interest";"BS";1.090545646E12;9.83787506E11;9.66617847E11;1.115590529E12
"ABDA";"Total Revenue";"IS";9.07194332E11;7.88581085E11;7.53810593E11;8.70531243E11
"ABMM";"Accounts Payable";"BS";1.15627378E8;1.27940097E8;2.26453754E8;2.55451164E8
"ABMM";"Accounts Receivable";"BS";1.38614852E8;1.55355917E8;2.55624573E8;3.13541656E8
"ABMM";"Basic EPS";"IS";-0.01295;0.05376;0.09804;0.10497
"ABMM";"Capital Expenditure";"CF";-7.1145006E7;-8.2942039E7;-2.82461255E8;-4.34776479E8
"ABMM";"Cash And Cash Equivalents";"BS";1.09212396E8;2.37220441E8;2.21566137E8;1.88576976E8
"ABMM";"Cash Flowsfromusedin Operating Activities Direct";"CF";1.32348535E8;3.64559017E8;4.21690253E8;3.87302217E8
"ABMM";"Cost Of Revenue";"IS";5.04892363E8;6.55508696E8;9.236231E8;1.100952827E9
"ABMM";"Current Assets";"BS";3.14160618E8;4.95193191E8;7.06664493E8;6.22722099E8
"ABMM";"Current Liabilities";"BS";2.62691486E8;2.99692977E8;6.16933951E8;6.31680763E8
"ABMM";"End Cash Position";"CF";1.09212396E8;2.37220441E8;2.21566137E8;1.88576976E8
"ABMM";"Gross Profit";"IS";1.01515013E8;3.66356778E8;5.21904271E8;3.92046029E8
"ABMM";"Net Income";"IS";-3.5659427E7;1.48003867E8;2.69909926E8;2.89000557E8
"ABMM";"Operating Expense";"IS";6.1189709E7;6.2854602E7;1.26172622E8;8.6418916E7
"ABMM";"Operating Income";"IS";4.0325304E7;3.03502176E8;3.95731649E8;3.05627113E8
"ABMM";"Total Assets";"BS";8.27237179E8;1.036704159E9;1.982578564E9;2.156687895E9
"ABMM";"Total Equity Gross Minority Interest";"BS";1.61749144E8;3.56889117E8;6.17521275E8;7.58926967E8
"ABMM";"Total Liabilities Net Minority Interest";"BS";6.65488035E8;6.79815042E8;1.365057289E9;1.397760928E9
"ABMM";"Total Non Current Assets";"BS";5.13076561E8;5.41510968E8;1.275914071E9;1.533965796E9
"ABMM";"Total Non Current Liabilities Net Minority Interest";"BS";4.02796549E8;3.80122065E8;7.48123338E8;7.66080165E8
"ABMM";"Total Revenue";"IS";6.06407376E8;1.021865474E9;1.445527371E9;1.492998856E9
"ACES";"Accounts Payable";"BS";1.64227235603E11;1.26723781917E11;1.44350074482E11;1.25623110112E11
"ACES";"Accounts Receivable";"BS";1.43482663889E11;6.6777644333E10;8.5854926858E10;1.9860975109E11
"ACES";"Basic EPS";"IS";42.86;41.18;38.83;38.83
"ACES";"Capital Expenditure";"CF";-1.62996620416E11;-8.4449629919E10;-1.07489443031E11;-1.31948351587E11
"ACES";"Cash And Cash Equivalents";"BS";2.219784801023E12;2.543833653523E12;2.13339908162E12;2.31237449014E12
"ACES";"Cash Flowsfromusedin Operating Activities Direct";"CF";1.538615302164E12;1.305426267837E12;6.18838440602E11;1.356429549142E12
"ACES";"Cost Of Revenue";"IS";3.75358506658E12;3.330713867112E12;3.494850563778E12;3.913777307313E12
"ACES";"Current Assets";"BS";5.03473716632E12;5.192108153404E12;5.362930145158E12;5.662380431624E12
"ACES";"Current Liabilities";"BS";8.44928054206E11;7.22537447543E11;6.69768766924E11;7.63625178514E11
"ACES";"End Cash Position";"CF";2.219784801023E12;2.543833653523E12;2.13339908162E12;2.31237449014E12
"ACES";"Gross Profit";"IS";3.659181805722E12;3.212648831788E12;3.267952778368E12;3.698088759955E12
"ACES";"Net Income";"IS";7.33195452445E11;6.90770530338E11;6.64342863394E11;7.63507487621E11
"ACES";"Operating Expense";"IS";2.80619256001E12;2.439112904311E12;2.52159334192E12;2.835262592446E12
"ACES";"Operating Income";"IS";8.52989245712E11;7.73535927477E11;7.46359436448E11;8.62826167509E11
"ACES";"Total Assets";"BS";7.216725069894E12;7.171138470214E12;7.249254612049E12;7.753269368751E12
"ACES";"Total Equity Gross Minority Interest";"BS";5.343597851998E12;5.578980277554E12;5.933988630611E12;6.186397789088E12
"ACES";"Total Liabilities Net Minority Interest";"BS";1.873127217896E12;1.59215819266E12;1.315265981438E12;1.566871579663E12
"ACES";"Total Non Current Assets";"BS";2.181987903574E12;1.97903031681E12;1.886324466891E12;2.090888937127E12
"ACES";"Total Non Current Liabilities Net Minority Interest";"BS";1.02819916369E12;8.69620745117E11;6.45497214514E11;8.03246401149E11
"ACES";"Total Revenue";"IS";7.412766872302E12;6.5433626989E12;6.762803342146E12;7.611866067268E12
"ACST";"Accounts Payable";"BS";7.63909E11;5.24314E11;5.31062E11;1.147946E12
"ACST";"Accounts Receivable";"BS";1.448907E12;9.40206E11;1.122512E12;1.502334E12
"ACST";"Basic EPS";"IS";-558.0;-82.0;-35.0;-35.0
"ACST";"Capital Expenditure";"CF";-6.3513E10;-1.0025E10;-3.86E9;-9.764E9
"ACST";"Cash And Cash Equivalents";"BS";7.34E10;4.71657E11;2.05806E11;2.98674E11
"ACST";"Cash Flowsfromusedin Operating Activities Direct";"CF";1.761692E12;1.97089E11;-2.16864E11;1.68635E11
"ACST";"Cost Of Revenue";"IS";1.50027E12;1.642358E12;1.348817E12;2.389679E12
"ACST";"Current Assets";"BS";2.210364E12;1.808369E12;1.606973E12;2.166914E12
"ACST";"Current Liabilities";"BS";2.620265E12;1.288711E12;1.397747E12;2.170056E12
"ACST";"End Cash Position";"CF";7.34E10;4.71657E11;2.05806E11;2.98674E11
"ACST";"Gross Profit";"IS";-2.95841E11;-1.47687E11;-3.11947E11;-4.0041E10
"ACST";"Net Income";"IS";-1.323209E12;-6.95549E11;-4.48905E11;-2.70149E11
"ACST";"Operating Expense";"IS";8.26796E11;5.12727E11;1.86054E11;2.16147E11
"ACST";"Operating Income";"IS";-1.122637E12;-6.60414E11;-4.98001E11;-2.56188E11
"ACST";"Total Assets";"BS";3.055106E12;2.478713E12;2.111024E12;2.608782E12
"ACST";"Total Equity Gross Minority Interest";"BS";3.24032E11;1.115731E12;6.70997E11;3.96057E11
"ACST";"Total Liabilities Net Minority Interest";"BS";2.731074E12;1.362982E12;1.440027E12;2.212725E12
"ACST";"Total Non Current Assets";"BS";8.44742E11;6.70344E11;5.04051E11;4.41868E11
"ACST";"Total Non Current Liabilities Net Minority Interest";"BS";1.10809E11;7.4271E10;4.228E10;4.2669E10
"ACST";"Total Revenue";"IS";1.204429E12;1.494671E12;1.03687E12;2.349638E12
"ADCP";"Accounts Payable";"BS";1.067770868373E12;1.507989325929E12;1.52011061819E12;1.293411062245E12
"ADCP";"Accounts Receivable";"BS";4.2325334928E10;4.1696808428E10;2.9649759112E10;1.9253948616E10
"ADCP";"Basic EPS";"IS";6.66;5.866226;4.73;4.73
"ADCP";"Capital Expenditure";"CF";-1.109743585E9;-3.1335E9;-3.1335E9;-3.1335E9
"ADCP";"Cash And Cash Equivalents";"BS";4.4698876735E10;6.0530437116E10;2.6869792306E10;2.83694481906E11
"ADCP";"Cash Flowsfromusedin Operating Activities Direct";"CF";-2.31413053812E11;-1.37027104396E11;1.22114790323E11;1.956752242E9
"ADCP";"Cost Of Revenue";"IS";8.01582919316E11;4.16880451565E11;4.39458758404E11;4.80306927982E11
"ADCP";"Current Assets";"BS";3.198674282991E12;3.635321504731E12;3.437620593864E12;3.430583376693E12
"ADCP";"Current Liabilities";"BS";2.39214263119E12;3.51912982048E12;3.579040895194E12;2.574442426693E12
"ADCP";"End Cash Position";"CF";4.4698876735E10;6.0530437116E10;2.6869792306E10;2.83694481906E11
"ADCP";"Gross Profit";"IS";1.75638090188E11;1.4680761486E11;1.53228955379E11;1.71651975788E11
"ADCP";"Net Income";"IS";1.33251330455E11;1.30360577564E11;1.05019176258E11;1.16165361945E11
"ADCP";"Operating Expense";"IS";3.620570416E10;2.9421666935E10;3.3333175709E10;3.8609479865E10
"ADCP";"Operating Income";"IS";1.39432386028E11;1.17385947925E11;1.1989577967E11;1.33042495923E11
"ADCP";"Total Assets";"BS";4.676206827347E12;5.978673938137E12;6.321024480878E12;6.643815019188E12
"ADCP";"Total Equity Gross Minority Interest";"BS";1.96983481987E12;2.100195446504E12;2.457997445178E12;2.574162796643E12
"ADCP";"Total Liabilities Net Minority Interest";"BS";2.706372007477E12;3.878478491633E12;3.8630270357E12;4.069652222545E12
"ADCP";"Total Non Current Assets";"BS";1.477532544356E12;2.343352433406E12;2.883403887014E12;3.213231642495E12
"ADCP";"Total Non Current Liabilities Net Minority Interest";"BS";3.14229376287E11;3.59348671153E11;2.83986140506E11;1.495209795852E12
"ADCP";"Total Revenue";"IS";9.77221009504E11;5.63688066425E11;5.92687713783E11;6.5195890377E11
"ADES";"Accounts Payable";"BS";6.3317E10;1.0508E11;1.12266E11;1.15597E11
"ADES";"Accounts Receivable";"BS";1.1961E11;1.62895E11;1.88937E11;2.22758E11
"ADES";"Basic EPS";"IS";230.0;451.0;619.0;671.0
"ADES";"Capital Expenditure";"CF";-4.935E9;-1.8064E11;-3.15991E11;-8.0192E10
"ADES";"Cash And Cash Equivalents";"BS";3.38488E11;3.80237E11;3.77722E11;7.53508E11
"ADES";"Cash Flowsfromusedin Operating Activities Direct";"CF";2.30679E11;3.08341E11;3.12748E11;4.59648E11
"ADES";"Cost Of Revenue";"IS";3.30799E11;4.35507E11;6.2024E11;7.14509E11
"ADES";"Current Assets";"BS";5.45239E11;6.73394E11;8.15319E11;1.23011E12
"ADES";"Current Liabilities";"BS";1.83559E11;2.68367E11;2.54719E11;2.98814E11
"ADES";"End Cash Position";"CF";3.38488E11;3.80237E11;3.77722E11;7.53508E11
"ADES";"Gross Profit";"IS";3.42565E11;4.99568E11;6.70752E11;8.10936E11
"ADES";"Net Income";"IS";1.35789E11;2.65758E11;3.64972E11;3.95798E11
"ADES";"Operating Expense";"IS";1.66137E11;1.72536E11;2.29558E11;3.26906E11
"ADES";"Operating Income";"IS";1.76428E11;3.27032E11;4.41194E11;4.8403E11
"ADES";"Total Assets";"BS";9.58791E11;1.304108E12;1.645582E12;2.085182E12
"ADES";"Total Equity Gross Minority Interest";"BS";7.00508E11;9.69817E11;1.334836E12;1.729808E12
"ADES";"Total Liabilities Net Minority Interest";"BS";2.58283E11;3.34291E11;3.10746E11;3.55374E11
"ADES";"Total Non Current Assets";"BS";4.13552E11;6.30714E11;8.30263E11;8.55072E11
"ADES";"Total Non Current Liabilities Net Minority Interest";"BS";7.4724E10;6.5924E10;5.6027E10;5.656E10
"ADES";"Total Revenue";"IS";6.73364E11;9.35075E11;1.290992E12;1.525445E12
"ADHI";"Accounts Payable";"BS";1.2661070627399E13;1.2770774582579E13;1.1343194486108E13;8.838821657307E12
"ADHI";"Accounts Receivable";"BS";1.7078643907495E13;1.5828528343001E13;1.3921181713956E13;1.6269939477094E13
"ADHI";"Basic EPS";"IS";6.162338;15.5;18.59;25.46
"ADHI";"Capital Expenditure";"CF";-4.6001151896E11;-3.56764764001E11;-1.07299901599E11;-3.18822289945E11
"ADHI";"Cash And Cash Equivalents";"BS";2.363649065033E12;3.15227874973E12;4.336901032232E12;4.503731722859E12
"ADHI";"Cash Flowsfromusedin Operating Activities Direct";"CF";1.436114329566E12;1.516124833702E12;1.224436816989E12;2.48373510773E11
"ADHI";"Cost Of Revenue";"IS";9.091968816661E12;9.774045780098E12;1.1752722145701E13;1.7750066226495E13
"ADHI";"Current Assets";"BS";3.0090503386345E13;3.1600942926217E13;2.9900162633389E13;2.8580550763597E13
"ADHI";"Current Liabilities";"BS";2.7082649503604E13;3.1127451942313E13;2.4768080064517E13;2.4981176224581E13
"ADHI";"End Cash Position";"CF";2.363649065033E12;3.15227874973E12;4.336901032232E12;4.503731722859E12
